ABSENT
ABSOLU
ACCORD
ACHETÉ
ACTION
ADORER
AGACER
AGITER
AGNEAU
AIMANT
AMENER
AMUSER
ANANAS
ANCIEN
ANIMAL
ANNEAU
ARGENT
AUPRÈS
AUTANT
AUTOUR
AVALER
AVENIR
AVOUER
BALCON
BALLON
BANANE
BANQUE
BARQUE
BASSIN
BATEAU
BATTRE
BEAUTÉ
BESOIN
BEURRE
BOSSER
BOUCHE
BOUGER
BOULOT
BRISER
BROSSE
BRÛLER
BULLES
BUREAU
CABANE
CACHER
CAHIER
CAISSE
CALMER
CAMION
CANAPÉ
CANARD
CARNET
CARTON
CASIER
CASSER
CAUSER
CENTRE
CERCLE
CERISE
CESSER
CHAÎNE
CHAISE
CHANCE
CHAQUE
CHASSE
CHEMIN
CHEVAL
CHEVEU
CHÈVRE
CINÉMA
CIRQUE
CITRON
CLAIRE
CLASSE
CLIENT
CLOCHE
COCHON
COFFRE
COLÈRE
COLLER
COMMUN
COMPTE
CONTRE
COPAIN
COPIER
COQUIN
COUCHÉ
COULER
COUPER
COURIR
COURSE
CRAYON
CRÊPES
CROIRE
CROÛTE
CUISSE
DANGER
DANSER
DEBOUT
DEHORS
DEMAIN
DÉPART
DEPUIS
DÉSERT
DÉSOLÉ
DESSIN
DESSUS
DEVANT
DEVOIR
DINDON
DIRECT
DOIGTS
DOLLAR
DOMINO
DONNER
DORMIR
DOUBLE
DOUCHE
DOUTER
DROITE
DURANT
ÉCRIRE
EFFORT
ÉGLISE
ÉLEVER
EMPLOI
ENCORE
ENDIVE
ÉNERVÉ
ENFANT
ENNEMI
ÉNORME
ENTIER
ENTRÉE
ENTRER
ÉPAULE
ÉPELER
ÉPOQUE
ÉQUIPE
ERREUR
ESPACE
ESPÈCE
ESPOIR
ESPRIT
ÉTALER
ÉTOILE
ÉVITER
EXIGER
FACILE
FAIBLE
FARINE
FEMMES
FERMER
FEUTRE
FIÈVRE
FIGURE
FINALE
FLAMME
FLAQUE
FORCER
FORMER
FOUTRE
FRAISE
FRANGE
GAGNER
GARAGE
GARÇON
GARDER
GÂTEAU
GAUCHE
GENTIL
GOÛTER
GRAINE
GRIFFE
GROUPE
GUERRE
GUEULE
GUIDER
HANCHE
HASARD
HOMMES
HUMAIN
IMITER
INTRUS
JALOUX
JAMAIS
JAMBES
JARDIN
JUSQUE
LÂCHER
LAISSE
LANCER
LANGUE
LAVABO
LAVAGE
LÉCHER
LÉGUME
LETTRE
LÈVRES
LIVRER
LOUCHE
MADAME
MAISON
MAÎTRE
MAJEUR
MALADE
MALGRÉ
MANCHE
MANÈGE
MANGER
MANIER
MARCHE
MARCHÉ
MARIER
MARQUE
MÉNAGE
MENTIR
MENTON
MESURE
METTRE
MEUBLE
MILIEU
MINUIT
MINUTE
MODÈLE
MOITIÉ
MOMENT
MONTÉE
MONTER
MONTRE
MORDRE
MOTEUR
MOUCHE
MOULIN
MOURIR
MOUSSE
MOUTON
MUSCLE
NAÎTRE
NATION
NATURE
NAVIRE
NIVEAU
NOMBRE
NOMMER
NUMÉRO
OCCUPÉ
OEUVRE
OFFRIR
OIGNON
OISEAU
OPPOSÉ
ORANGE
ORGANE
OUVERT
OUVRIR
PALAIS
PANIER
PAPIER
PAQUET
PARDON
PAREIL
PARENT
PARFUM
PARLER
PAROLE
PARTIE
PARTIR
PASSER
PATRON
PAUVRE
PÉDALE
PEIGNE
PENSÉE
PENSER
PERDRE
PERSIL
PEUPLE
PHRASE
PIERRE
PIGEON
PILOTE
PIQUER
PIQÛRE
PLACER
PLAINE
PLAIRE
PLANTE
PLÂTRE
PLIAGE
PLUTÔT
POINTE
POISON
POLICE
PORTER
POSTER
POUPÉE
PRÉCIS
PRÉNOM
PRESSE
PRÊTER
PRINCE
PRISES
PRISON
PRIVER
PROCHE
PROJET
PROPOS
PROPRE
PUBLIC
PUTAIN
PUZZLE
QUATRE
QUINZE
RACINE
RAISIN
RAISON
RANGÉE
RANGER
RAPIDE
RAYURE
RECORD
REGARD
RÉGION
RÉGLER
RELIER
REMUER
RENDRE
RESTER
RETARD
RETOUR
RÉUNIR
RÉVEIL
REVOIR
RIDEAU
RIVAGE
RONGER
ROULER
SAISIR
SAISON
SALADE
SALUER
SAMEDI
SAUTER
SAUVER
SAVAIT
SAVOIR
SÉCHER
SECRET
SENTIR
SÉPARÉ
SERRER
SERVIR
SIÈCLE
SIESTE
SIMPLE
SOCIAL
SOIRÉE
SOLDAT
SOLEIL
SOMBRE
SONGER
SONNER
SORTIE
SORTIR
SQUARE
SUCCÈS
SUIVRE
TAILLE
TAMPON
TENDRE
TENTER
TIMBRE
TIROIR
TOMATE
TOMBER
TORTUE
TRENTE
TRÉSOR
TRISTE
TROUVÉ
TULIPE
TUNNEL
UNIQUE
VALEUR
VALLÉE
VALOIR
VAPEUR
VARIER
VENDRE
VENTRE
VÉRITÉ
VERSER
VIANDE
VIRAGE
VISAGE
VISION
VISITE
VIVANT
VOISIN
VOYAGE
YAOURT
ZIGZAG
